enemy2_a1r: .word 16, 10
.byte 145,145,145,145,145,145,145,145,145,145,102,102,102,102,102,102,
145,145,145,145,145,145,102,102,102,102,102,102,145,145,145,145,
145,145,145,145,145,145,145,145,145,145,102,102,145,145,145,145,
145,145,145,145,145,145,145,145,80,80,80,80,80,80,145,145,
80,80,145,145,145,145,80,80,80,80,80,80,80,80,80,80,
128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,
128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,
80,80,145,145,145,145,145,145,80,80,80,80,80,80,145,145,
145,145,145,145,145,145,145,145,145,145,80,80,145,145,145,145,
145,145,145,145,145,145,145,145,80,80,80,80,80,80,145,145,


